epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.4162,2.67622,3.53001,1.55048,0.50125,0.31782,0.30563,0.1052,2.77393,2.41764,1.45786,0.00066455,0.00066455,0.00066455
2,192.364,2.76451,2.48781,1.54741,0.5224,0.29231,0.28102,0.11138,2.97494,4.99979,1.53343,0.00131804,0.00131804,0.00131804
3,284.951,2.51702,2.11069,1.42326,0.5576,0.34904,0.38246,0.17949,2.41835,2.35586,1.19243,0.00195833,0.00195833,0.00195833
4,377.607,2.40748,1.96936,1.42938,0.50627,0.47692,0.46044,0.19333,2.42861,1.93342,1.24348,0.0019406,0.0019406,0.0019406
5,472.656,2.35111,1.89363,1.3866,0.63252,0.54872,0.55505,0.23307,2.22651,1.67468,1.09673,0.0019208,0.0019208,0.0019208
6,564.277,2.24684,1.6498,1.29917,0.67874,0.49231,0.55243,0.26266,nan,nan,nan,0.001901,0.001901,0.001901
7,658.922,2.16007,1.57641,1.27355,0.66175,0.5453,0.5719,0.25079,2.17602,1.67463,1.05735,0.0018812,0.0018812,0.0018812
8,749.517,2.17166,1.64599,1.26902,0.36543,0.10256,0.08364,0.0363,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,840.089,2.11419,1.51965,1.26533,0.69316,0.61197,0.62435,0.29076,2.05249,2.15282,1.08284,0.0018416,0.0018416,0.0018416
10,930.178,2.09256,1.45896,1.25724,0.66986,0.61538,0.64175,0.29208,2.07558,1.58576,1.0787,0.0018218,0.0018218,0.0018218
11,1022.14,2.06473,1.45072,1.209,0.67934,0.6048,0.64727,0.28582,2.11967,1.53182,1.04739,0.001802,0.001802,0.001802
12,1111.97,2.02459,1.32993,1.18642,0.7364,0.67009,0.69392,0.31759,2.00569,1.34673,1.06016,0.0017822,0.0017822,0.0017822
13,1205.6,1.9741,1.30135,1.19839,0.74526,0.65012,0.67942,0.31939,2.01043,1.37825,1.0635,0.0017624,0.0017624,0.0017624
14,1299.44,1.9717,1.35691,1.23916,0.72137,0.71697,0.72585,0.35929,1.96119,1.2764,1.03146,0.0017426,0.0017426,0.0017426
15,1390.2,2.01571,1.30907,1.22962,0.76445,0.6906,0.72812,0.33408,2.01284,1.34899,1.056,0.0017228,0.0017228,0.0017228
16,1479.05,1.9171,1.26069,1.19079,0.76956,0.64615,0.69779,0.34164,1.94592,1.32547,1.04445,0.001703,0.001703,0.001703
17,1568.79,1.92025,1.23227,1.1993,0.69133,0.69298,0.71171,0.36213,1.85811,1.33833,1.03368,0.0016832,0.0016832,0.0016832
18,1662.07,1.90956,1.2349,1.16504,0.78386,0.67179,0.70718,0.34429,1.92054,1.27239,1.03254,0.0016634,0.0016634,0.0016634
19,1750.01,1.92305,1.16324,1.10277,0.78537,0.65678,0.71384,0.36017,1.90959,1.39646,1.04566,0.0016436,0.0016436,0.0016436
20,1839.87,1.90599,1.18673,1.12155,0.70967,0.68943,0.70847,0.36583,1.88419,1.28347,1.04112,0.0016238,0.0016238,0.0016238
21,1934.26,1.87306,1.13628,1.1456,0.76421,0.72137,0.75353,0.35648,1.89758,1.19027,1.01799,0.001604,0.001604,0.001604
22,2023.17,1.87935,1.11641,1.10493,0.77191,0.73333,0.76538,0.388,1.83075,1.21324,1.01202,0.0015842,0.0015842,0.0015842
23,2115.71,1.84115,1.1424,1.15299,0.77332,0.69231,0.73701,0.37131,1.8772,1.21227,1.01263,0.0015644,0.0015644,0.0015644
24,2206.04,1.80021,1.08817,1.18466,0.75322,0.70956,0.75395,0.37796,1.86261,1.12015,1.00203,0.0015446,0.0015446,0.0015446
25,2295.43,1.75585,1.09003,1.17259,0.78549,0.74188,0.7664,0.40265,1.81283,1.09856,0.9966,0.0015248,0.0015248,0.0015248
26,2388.44,1.83886,1.09761,1.11387,0.77938,0.72991,0.74699,0.36963,1.86706,1.16218,0.99814,0.001505,0.001505,0.001505
27,2477.84,1.80632,1.07535,1.13901,0.78643,0.67863,0.75439,0.38939,1.8039,1.13137,1.00155,0.0014852,0.0014852,0.0014852
28,2568.69,1.81204,1.03742,1.09431,0.81489,0.66496,0.75194,0.38018,1.84286,1.12823,0.99766,0.0014654,0.0014654,0.0014654
29,2658.19,1.74389,1.02064,1.1386,0.80622,0.68718,0.76804,0.41059,1.79808,1.10099,1.01232,0.0014456,0.0014456,0.0014456
30,2750.97,1.77891,1.02424,1.11613,0.77943,0.76923,0.78576,0.41201,1.82281,1.04776,0.99648,0.0014258,0.0014258,0.0014258
31,2846.26,1.73235,1.02522,1.12676,0.76219,0.75058,0.76288,0.38941,1.83344,1.04456,0.98886,0.001406,0.001406,0.001406
32,2936.44,1.72395,1.0298,1.11808,0.81693,0.71966,0.79506,0.4067,1.78103,1.03352,0.97671,0.0013862,0.0013862,0.0013862
